Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, R1, RCA1, RCA10, RCA11, RCA12, RCA13, RCA14, RCA15, RCA16, RCA2, RCA3, RCA4, RCA5, RCA6, RCA7, RCA8, RCA9, RCB1, RCB10, RCB11, RCB12, RCB13, RCB14, RCB15, RCB16, RCB2, RCB3, RCB4, RCB5, RCB6, RCB7, RCB8, RCB9, RL1, RL10, RL11, RL12, RL13, RL14, RL15, RL16, RL17, RL18, RL19, RL2, RL20, RL21, RL22, RL23, RL24, RL25, RL26, RL27, RL28, RL29, RL3, RL30, RL31, RL32, RL4, RL5, RL6, RL7, RL8, RL9, RSA1, RSA10, RSA11, RSA12, RSA13, RSA14, RSA15, RSA16, RSA2, RSA3, RSA4, RSA5, RSA6, RSA7, RSA8, RSA9, RSB1, RSB10, RSB11, RSB12, RSB13, RSB14, RSB15, RSB16, RSB2, RSB3, RSB4, RSB5, RSB6, RSB7, RSB8, RSB9",0603,99,R,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C25, C26, C3, C4, C5, C6, C7, C8, C9",0603,25,C,
C24,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",0603,32,LED,
D33,D_SOD-323_HandSoldering,1,D_Schottky,
J1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J2,PinHeader_1x03_P2.54mm_Vertical,1,LED_SW,
J3,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04_Socket,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker_Crystal,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q30, Q31, Q32, Q4, Q5, Q6, Q7, Q8, Q9",0603,32,Q_Photo_NPN,
"RP2040_ZERO1, RP2040_ZERO2",RP2040_zero_kimoi3,2,~,
RV1,hankotei_node,1,R_Potentiometer_Trim,
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",LM393_SOIC-8_3.9x4.9mm_P1.27mm_handhandsoilder,16,LM393,
