Designator,Mid X,Mid Y,Rotation,Layer
B1,523.97,-508.4725,270.0,top
B2,539.62,-535.55,270.0,top
C1,555.783429,-493.138796,282.522,top
C10,451.0885,-527.686319,125.022,top
C11,465.406762,-544.296444,147.522,top
C12,484.991531,-554.162837,170.022,top
C13,507.091984,-556.552998,192.522,top
C14,527.686319,-548.911499,215.022,top
C15,544.296444,-534.593237,237.522,top
C16,554.162837,-515.008468,260.022,top
C17,523.1275,-535.755,0.0,top
C18,523.0975,-538.555,0.0,top
C19,521.0,-491.74,0.0,top
C2,548.911499,-472.31368,305.022,top
C20,521.0,-494.64,0.0,top
C21,494.832502,-565.240001,0.0,top
C22,494.7925,-562.28,0.0,top
C23,521.9175,-505.27,180.0,top
C24,520.2,-499.65,90.0,top
C25,527.445,-535.865,180.0,top
C26,524.87,-490.8625,270.0,top
C3,534.593237,-455.703555,327.522,top
C4,515.008468,-445.837162,350.022,top
C5,493.138796,-444.21657,12.522,top
C6,472.31368,-451.0885,35.022,top
C7,455.703555,-465.406762,57.522,top
C8,445.837162,-484.991531,80.022,top
C9,444.21657,-506.861203,102.522,top
D1,565.0,-500.0,270.0,top
D10,487.319129,-436.248956,11.25,top
D11,475.125576,-439.94783,22.5,top
D12,463.887934,-445.954475,33.75,top
D13,454.038059,-454.038059,45.0,top
D14,445.954475,-463.887934,56.25,top
D15,439.94783,-475.125576,67.5,top
D16,436.248956,-487.319129,78.75,top
D17,435.0,-500.0,90.0,top
D18,436.248956,-512.68087,101.25,top
D19,439.94783,-524.874423,112.5,top
D2,563.751043,-487.319129,281.25,top
D20,445.954475,-536.112065,123.75,top
D21,454.038059,-545.96194,135.0,top
D22,463.887934,-554.045524,146.25,top
D23,475.125576,-560.052169,157.5,top
D24,487.319129,-563.751043,168.75,top
D25,500.0,-565.0,180.0,top
D26,512.68087,-563.751043,191.25,top
D27,524.874423,-560.052169,202.5,top
D28,536.112065,-554.045524,213.75,top
D29,545.96194,-545.96194,225.0,top
D3,560.052169,-475.125576,292.5,top
D30,554.045524,-536.112065,236.25,top
D31,560.052169,-524.874423,247.5,top
D32,563.751043,-512.68087,258.75,top
D33,518.22,-553.72,197.0,top
D4,554.045524,-463.887934,303.75,top
D5,545.96194,-454.038059,315.0,top
D6,536.112065,-445.954475,326.25,top
D7,524.874423,-439.94783,337.5,top
D8,512.68087,-436.248956,348.75,top
D9,500.0,-435.0,0.0,top
J1,494.72,-559.4,180.0,bottom
J2,474.186470305233,-549.197449798157,63.52,top
J3,517.9310853115843,-557.1171141782035,343.0,bottom
LS1,532.17,-534.66,270.0,top
Q1,568.0,-500.0,270.0,top
Q10,486.733858,-433.3066,11.25,top
Q11,473.977526,-437.176191,22.5,top
Q12,462.221224,-443.460066,33.75,top
Q13,451.916738,-451.916738,45.0,top
Q14,443.460066,-462.221224,56.25,top
Q15,437.176191,-473.977526,67.5,top
Q16,433.3066,-486.733858,78.75,top
Q17,432.0,-500.0,90.0,top
Q18,433.3066,-513.266141,101.25,top
Q19,437.176191,-526.022473,112.5,top
Q2,566.693399,-486.733858,281.25,top
Q20,443.460066,-537.778775,123.75,top
Q21,451.916738,-548.083261,135.0,top
Q22,462.221224,-556.539933,146.25,top
Q23,473.977526,-562.823808,157.5,top
Q24,486.733858,-566.693399,168.75,top
Q25,500.0,-568.0,180.0,top
Q26,513.266141,-566.693399,191.25,top
Q27,526.022473,-562.823808,202.5,top
Q28,537.778775,-556.539933,213.75,top
Q29,548.083261,-548.083261,225.0,top
Q3,562.823808,-473.977526,292.5,top
Q30,556.539933,-537.778775,236.25,top
Q31,562.823808,-526.022473,247.5,top
Q32,566.693399,-513.266141,258.75,top
Q4,556.539933,-462.221224,303.75,top
Q5,548.083261,-451.916738,315.0,top
Q6,537.778775,-443.460066,326.25,top
Q7,526.022473,-437.176191,337.5,top
Q8,513.266141,-433.3066,348.75,top
Q9,500.0,-432.0,0.0,top
R1,521.02,-508.445,90.0,top
RCA1,556.687164,-497.648881,97.885,top
RCA10,448.527623,-523.865389,300.385,top
RCA11,461.578613,-541.74637,322.885,top
RCA12,480.478911,-553.271844,345.385,top
RCA13,502.351118,-556.687164,7.885,top
RCA14,524.62,-552.06,30.385,top
RCA15,541.74637,-538.421386,52.885,top
RCA16,553.271844,-519.521088,75.385,top
RCA2,551.472376,-476.13461,120.385,top
RCA3,538.421386,-458.253629,142.885,top
RCA4,519.521088,-446.728155,165.385,top
RCA5,497.648881,-443.312835,187.885,top
RCA6,476.13461,-448.527623,210.385,top
RCA7,458.253629,-461.578613,232.885,top
RCA8,446.728155,-480.478911,255.385,top
RCA9,443.312835,-502.351118,277.885,top
RCB1,557.004265,-488.562857,196.855,top
RCB10,451.71173,-532.381129,39.355,top
RCB11,467.779178,-548.395383,61.855,top
RCB12,487.830242,-557.041878,84.355,top
RCB13,510.7,-557.22,106.855,top
RCB14,532.381129,-548.288269,129.355,top
RCB15,548.395383,-532.220821,151.855,top
RCB16,557.041878,-511.248046,174.355,top
RCB2,548.288269,-467.61887,219.355,top
RCB3,532.220821,-451.604616,241.85500000000002,top
RCB4,511.248046,-442.958121,264.355,top
RCB5,488.562857,-442.995734,286.855,top
RCB6,467.61887,-451.71173,309.355,top
RCB7,451.604616,-467.779178,331.855,top
RCB8,442.958121,-488.751953,354.355,top
RCB9,442.995734,-511.437142,16.855,top
RL1,561.999787,-499.837684,270.15,top
RL10,487.745244,-439.223187,11.4,top
RL11,476.123748,-442.78178,22.65,top
RL12,465.419803,-448.539238,33.9,top
RL13,456.044755,-456.274304,45.15,top
RL14,448.358883,-465.689723,56.4,top
RL15,442.657549,-476.423668,67.65,top
RL16,439.159854,-488.063638,78.9,top
RL17,438.000212,-500.162315,90.15,top
RL18,439.223187,-512.254755,101.4,top
RL19,442.78178,-523.876251,112.65,top
RL2,560.776812,-487.745244,281.4,top
RL20,448.539238,-534.580196,123.9,top
RL21,456.274304,-543.955244,135.15,top
RL22,465.689723,-551.641116,146.4,top
RL23,476.423668,-557.34245,157.65,top
RL24,488.063638,-560.840145,168.9,top
RL25,500.162315,-561.999787,180.15,top
RL26,512.254755,-560.776812,11.4,top
RL27,523.876251,-557.218219,202.65,top
RL28,534.580196,-551.460761,33.9,top
RL29,543.955244,-543.725695,225.15,top
RL3,557.218219,-476.123748,292.65,top
RL30,551.641116,-534.310276,236.4,top
RL31,557.34245,-523.576331,247.65,top
RL32,560.840145,-511.936361,258.9,top
RL4,551.460761,-465.419803,303.9,top
RL5,543.725695,-456.044755,315.15,top
RL6,534.310276,-448.358883,326.4,top
RL7,523.576331,-442.657549,337.65,top
RL8,511.936361,-439.159854,348.9,top
RL9,499.837684,-438.000212,0.15,top
RP2040_ZERO1,530.9775,-522.05,90.0,top
RP2040_ZERO2,530.9775,-478.05,90.0,top
RSA1,567.817384,-495.019802,94.2,top
RSA10,439.250745,-530.553691,296.7,top
RSA11,455.567398,-551.475663,319.2,top
RSA12,478.648512,-564.560932,341.7,top
RSA13,504.980197,-567.817384,4.2,top
RSA14,530.553691,-560.749254,26.7,top
RSA15,551.475663,-544.432601,49.2,top
RSA16,564.560932,-521.351487,71.7,top
RSA2,560.749254,-469.446308,116.7,top
RSA3,544.432601,-448.524336,139.2,top
RSA4,521.351487,-435.439067,161.7,top
RSA5,495.019802,-432.182615,184.2,top
RSA6,469.446308,-439.250745,206.7,top
RSA7,448.524336,-455.567398,229.2,top
RSA8,435.439067,-478.648512,251.7,top
RSA9,432.182615,-504.980197,274.2,top
RSB1,565.073665,-480.26632,106.87,top
RSB10,447.431524,-543.134156,309.37,top
RSB11,467.939788,-559.967848,331.87,top
RSB12,493.328928,-567.671979,354.37,top
RSB13,519.733679,-565.073665,16.87,top
RSB14,543.134156,-552.568475,39.37,top
RSB15,559.967848,-532.060211,61.87,top
RSB16,567.671979,-506.671071,84.37,top
RSB2,552.568475,-456.865843,129.37,top
RSB3,532.060211,-440.032151,151.87,top
RSB4,506.671071,-432.32802,174.37,top
RSB5,480.26632,-434.926334,196.87,top
RSB6,456.865843,-447.431524,219.37,top
RSB7,440.032151,-467.939788,241.87,top
RSB8,432.32802,-493.328928,264.37,top
RSB9,434.926334,-519.733679,286.87,top
RV1,531.239999,-541.11,270.0,top
U1,560.94997,-494.120448,101.02,top
U10,445.939576,-528.756541,303.52,top
U11,461.059333,-547.255608,326.02,top
U12,482.107453,-558.560437,348.52,top
U13,505.879551,-560.94997,11.02,top
U14,528.756541,-554.060423,33.52,top
U15,547.255608,-538.940666,56.02,top
U16,558.560437,-517.892546,78.52,top
U2,554.060423,-471.243458,123.52,top
U3,538.940666,-452.744391,146.02,top
U4,517.892546,-441.439562,168.52,top
U5,494.120448,-439.050029,191.02,top
U6,471.243458,-445.939576,213.52,top
U7,452.744391,-461.059333,236.01999999999998,top
U8,441.439562,-482.107453,258.52,top
U9,439.050029,-505.879551,281.02,top
