Designator,Mid X,Mid Y,Rotation,Layer
A1,149.99,-98.889,0.0,bottom
C10,157.873226,-141.620423,180.0,top
C11,186.5,-99.2,180.0,top
C2,150.961,-81.102,270.0,bottom
C3,146.081,-85.582,90.0,bottom
C4,178.886601,-125.335796,0.0,top
C5,112.7,-115.125,90.0,top
C6,132.9,-136.875,90.0,top
C7,120.4,-87.625,90.0,top
C8,142.475,-66.2,180.0,top
C9,166.346,-71.327,180.0,top
D34,181.819805,-131.819805,315.0,top
D35,191.574579,-117.220754,337.5,top
D36,151.827,-54.8675,90.0,top
D37,132.779246,-58.425421,112.5,top
D38,118.180195,-68.180195,135.0,top
D39,108.425421,-82.779246,157.5,top
D40,105.0,-100.0,180.0,top
D41,108.425421,-117.220754,202.5,top
D42,118.180195,-131.819805,225.0,top
D43,132.779246,-141.574579,247.5,top
D44,150.0,-145.0,270.0,top
D45,166.857297,-141.723273,292.0,top
D46,195.0,-100.0,0.0,top
D47,191.574579,-82.779246,22.5,top
D48,181.819805,-68.180195,45.0,top
D49,167.220754,-58.425421,67.5,top
J1,174.111,-96.407,0.0,bottom
J2,170.15,-105.4,180.0,bottom
Q1,102.0,-100.0,180.0,top
Q10,131.631195,-55.653782,112.5,top
Q11,116.058875,-66.058875,135.0,top
Q12,105.653782,-81.631195,157.5,top
Q13,150.0,-148.0,270.0,top
Q14,168.369805,-144.346218,292.5,top
Q15,183.941125,-133.941125,315.0,top
Q16,194.346218,-118.368805,337.5,top
Q17,166.79,-124.0165,180.0,bottom
Q2,105.653782,-118.368805,202.5,top
Q3,116.058875,-133.941125,225.0,top
Q4,131.632195,-144.346218,247.5,top
Q5,198.0,-100.0,0.0,top
Q6,194.346218,-81.631195,22.5,top
Q7,183.941125,-66.058875,45.0,top
Q8,168.368805,-55.653782,67.5,top
Q9,150.0,-52.0,90.0,top
R1,138.298,-143.466,67.5,top
R10,129.750801,-59.65696,292.5,top
R11,122.754765,-63.354765,315.0,top
R12,107.269,-85.836,337.5,top
R13,195.046,-97.048,180.0,top
R14,194.15696,-88.849199,202.5,top
R15,164.449199,-57.656959,247.5,top
R16,179.454765,-65.945235,225.0,top
R17,152.876,-144.9565,90.0,top
R18,172.121171,-139.433945,112.0,top
R19,183.500984,-130.013456,140.0,top
R2,122.413456,-135.799016,50.0,top
R20,193.75696,-111.750801,157.5,top
R21,150.2,-60.0125,270.0,top
R22,140.5875,-56.9,0.0,top
R23,128.800199,-81.29796,270.0,top
R24,117.7,-79.4875,270.0,top
R25,173.585,-65.4005,270.0,top
R26,162.0,-64.1125,270.0,top
R27,193.6,-93.1875,270.0,top
R28,186.1875,-89.4,180.0,top
R29,153.708,-133.6935,270.0,top
R3,109.85696,-120.149199,22.5,top
R30,162.2875,-132.0,0.0,top
R31,174.881338,-117.51004,270.0,top
R32,186.612537,-118.280499,270.0,top
R33,169.901199,-59.62496,247.5,top
R34,183.754765,-70.145235,45.0,top
R35,192.809397,-85.578654,207.5,top
R36,194.928,-102.981,180.0,top
R37,169.3,-140.6,117.5,top
R38,147.032,-144.9815,90.0,top
R39,135.538606,-142.520267,67.5,top
R4,104.951972,-102.88253,5.0,top
R40,154.717,-54.949,270.0,top
R41,135.350801,-56.95696,292.5,top
R42,120.345235,-65.645235,315.0,top
R43,109.53796,-80.270801,337.5,top
R44,105.109028,-97.079529,355.0,top
R45,107.25696,-114.349199,22.5,top
R46,120.254765,-133.945235,45.0,top
R49,165.419,-80.758,0.0,bottom
R5,135.378,-128.7805,270.0,top
R50,176.75,-106.01,90.0,bottom
R51,180.592999,-106.04,270.0,bottom
R55,179.910582,-133.97812,132.0,top
R56,192.55696,-114.550801,157.5,top
R6,124.795,-127.5905,270.0,top
R7,120.72,-108.18,270.0,top
R8,110.402,-106.862,270.0,top
R84,167.19,-110.5,180.0,bottom
R85,167.19,-114.6,0.0,bottom
R9,148.612,-54.889,270.0,top
RV1,154.27,-67.8,270.0,bottom
SW2,163.534,-97.855,0.0,bottom
U2,180.541,-120.363,270.0,top
U3,115.218,-109.696,270.0,top
U4,129.692,-130.687,270.0,top
U5,122.9,-82.9,270.0,top
U6,144.042,-61.777,270.0,top
U7,187.737077,-94.129057,270.0,top
U8,167.878,-67.183,270.0,top
U9,159.55,-136.606,270.0,top
