Designator,Mid X,Mid Y,Rotation,Layer
C1,227.0,-91.4,0.0,bottom
C2,209.1,-111.2,0.0,bottom
C3,172.725,-115.0,180.0,bottom
C4,191.0,-134.9,180.0,bottom
J3,232.385491,-57.614509,135.0,bottom
J4,232.385491,-122.385491,225.0,bottom
J5,167.614509,-57.614509,45.0,bottom
J6,167.614509,-122.385491,315.0,bottom
J7,200.13,-46.7,0.0,bottom
J8,208.75,-95.0,180.0,bottom
Q13,212.92507735560608,-46.434631788534325,105.0,bottom
R13,188.997176385302,-44.282132257452,170.0,bottom
R14,188.09717638530202,-48.382132257452,170.0,bottom
U1,230.0,-103.0,180.0,bottom
U2,212.0,-123.0,180.0,bottom
U3,170.0,-103.0,0.0,bottom
U4,188.0,-123.0,0.0,bottom
U5,190.0,-100.0,0.0,bottom
