Designator,Mid X,Mid Y,Rotation,Layer
C1,227.0,-91.4,0.0,bottom
C2,209.1,-111.2,0.0,bottom
C3,172.725,-115.0,180.0,bottom
C4,191.0,-134.9,180.0,bottom
D1,97.415678,-130.994431,97.5,top
D10,93.774448,-63.091643,142.5,top
D11,79.079378,-54.60744,157.5,top
D12,62.689157,-50.215694,172.5,top
D2,93.023932,-114.60421,112.5,top
D3,84.539729,-99.90914,127.5,top
D4,72.541256,-87.910666,142.5,top
D5,57.846186,-79.426464,157.5,top
D6,41.455965,-75.034717,172.5,top
D7,118.648871,-106.175408,97.5,top
D8,114.257125,-89.785187,112.5,top
D9,105.772922,-75.090117,127.5,top
J1,75.397407,-97.040593,135.0,bottom
J10,34.971,-75.467,180.0,top
J11,118.413955,-112.30761,90.0,top
J12,56.708955,-50.44761,180.0,top
J2,96.631362,-72.233203,135.0,bottom
J3,232.385491,-57.614509,135.0,bottom
J4,232.385491,-122.385491,225.0,bottom
J5,167.614509,-57.614509,45.0,bottom
J6,167.614509,-122.385491,315.0,bottom
J7,200.13,-46.7,0.0,bottom
J8,208.75,-95.0,180.0,bottom
J9,97.406,-137.101,90.0,top
Q1,100.390013,-130.602852,277.5,top
Q10,95.600732,-60.711583,322.5,top
Q11,80.227428,-51.835802,337.5,top
Q12,63.080736,-47.241359,352.5,top
Q13,212.92507735560608,-46.434631788534325,105.0,bottom
Q2,95.795571,-113.45616,292.5,top
Q3,86.919789,-98.082856,307.5,top
Q4,74.36754,-85.530606,322.5,top
Q5,58.994236,-76.654825,337.5,top
Q6,41.847544,-72.060383,352.5,top
Q7,121.623206,-105.783829,277.5,top
Q8,117.028763,-88.637137,292.5,top
Q9,108.152982,-73.263833,307.5,top
R1,99.795494,-126.470096,277.5,top
R10,91.775955,-57.89361,322.5,top
R10D1,97.802183,-64.404093,52.5,top
R11,75.876955,-50.13261,337.5,top
R11D1,82.945241,-54.862811,67.5,top
R12,59.482955,-47.15461,270.0,top
R12D1,66.442955,-49.73361,82.5,top
R13,188.997176385302,-44.282132257452,170.0,bottom
R14,188.09717638530202,-48.382132257452,170.0,bottom
R1D1,100.413058,-134.294684,7.5,top
R2,94.106714,-109.359201,292.5,top
R2D1,96.041,-118.277,22.5,top
R3,84.021,-94.517,307.5,top
R3D1,87.936483,-102.189228,37.5,top
R4,70.625516,-82.919228,322.5,top
R4D1,75.838895,-89.862237,52.5,top
R5,54.833201,-74.982714,337.5,top
R5D1,62.008799,-81.601286,337.5,top
R6,38.428684,-71.549058,262.5,top
R6D1,46.053058,-76.059316,352.5,top
R7,120.934955,-101.11861,277.5,top
R7D1,120.143955,-109.53161,7.5,top
R8,115.228241,-84.339409,292.5,top
R8D1,116.750955,-92.78561,22.5,top
R9,105.295727,-69.528093,307.5,top
R9D1,108.941955,-77.44261,37.5,top
U1,230.0,-103.0,180.0,bottom
U2,212.0,-123.0,180.0,bottom
U3,170.0,-103.0,0.0,bottom
U4,188.0,-123.0,0.0,bottom
U5,190.0,-100.0,0.0,bottom
