Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,C,
"C3, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",0603,32,LED,
J1,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J3,PinHeader_1x09_P2.54mm_Horizontal,1,Conn_01x09_Socket,
J4,JST_XH_S9B-XH-A-1_1x09_P2.50mm_Horizontal,1,Conn_01x09_Socket,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q30, Q31, Q32, Q4, Q5, Q6, Q7, Q8, Q9",0603,32,Q_Photo_NPN,
Q33,TO-251-3-1EP_Horizontal_TabDown_EDITED,1,Q_NMOS,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R7, R8, R9",0603,64,R,
"R73, R74",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,R,
"U1, U2",SSOP-24_5.3x8.2mm_P0.65mm,2,CD74HC4067SM,
U3,Seeeduino Xiao SAMD,1,~,
