Designator,Mid X,Mid Y,Rotation,Layer
C1,42.1875,-93.21,180.0,top
C2,155.05,-93.23,180.0,top
C3,123.005,-152.378,270.0,bottom
C4,102.825,-161.45,0.0,bottom
D1,165.0,-100.0,270.0,top
D10,87.319129,-36.248957,11.25,top
D11,75.125577,-39.94783,22.5,top
D12,63.887935,-45.954475,33.75,top
D13,54.038059,-54.038059,45.0,top
D14,45.954475,-63.887935,56.25,top
D15,39.94783,-75.125577,67.5,top
D16,36.248957,-87.319129,78.75,top
D17,35.0,-100.0,90.0,top
D18,36.248957,-112.680871,101.25,top
D19,39.94783,-124.874423,112.5,top
D2,163.751043,-87.319129,281.25,top
D20,45.954475,-136.112065,123.75,top
D21,54.038059,-145.961941,135.0,top
D22,63.887935,-154.045525,146.25,top
D23,75.125577,-160.05217,157.5,top
D24,87.319129,-163.751043,168.75,top
D25,100.0,-165.0,180.0,top
D26,112.680871,-163.751043,191.25,top
D27,124.874423,-160.05217,202.5,top
D28,136.112065,-154.045525,213.75,top
D29,145.961941,-145.961941,225.0,top
D3,160.05217,-75.125577,292.5,top
D30,154.045525,-136.112065,236.25,top
D31,160.05217,-124.874423,247.5,top
D32,163.751043,-112.680871,258.75,top
D4,154.045525,-63.887935,303.75,top
D5,145.961941,-54.038059,315.0,top
D6,136.112065,-45.954475,326.25,top
D7,124.874423,-39.94783,337.5,top
D8,112.680871,-36.248957,348.75,top
D9,100.0,-35.0,0.0,top
J1,130.923,-104.788,0.0,top
J2,85.585001,-156.700629,180.0,bottom
J3,121.071496,-98.016496,90.0,bottom
J4,107.85,-155.175,180.0,bottom
Q1,168.0,-100.0,90.0,top
Q10,86.733858,-33.306601,191.25,top
Q11,73.977527,-37.176192,202.5,top
Q12,62.221224,-43.460066,213.75,top
Q13,51.916739,-51.916739,225.0,top
Q14,43.460066,-62.221224,236.25,top
Q15,37.176192,-73.977527,247.5,top
Q16,33.306601,-86.733858,258.75,top
Q17,32.0,-100.0,270.0,top
Q18,33.306601,-113.266142,281.25,top
Q19,37.176192,-126.022473,292.5,top
Q2,166.693399,-86.733858,101.25,top
Q20,43.460066,-137.778776,303.75,top
Q21,51.916739,-148.083261,315.0,top
Q22,62.221224,-156.539934,326.25,top
Q23,73.977527,-162.823808,337.5,top
Q24,86.733858,-166.693399,348.75,top
Q25,100.0,-168.0,0.0,top
Q26,113.266142,-166.693399,11.25,top
Q27,126.022473,-162.823808,22.5,top
Q28,137.778776,-156.539934,33.75,top
Q29,148.083261,-148.083261,45.0,top
Q3,162.823808,-73.977527,112.5,top
Q30,156.539934,-137.778776,56.25,top
Q31,162.823808,-126.022473,67.5,top
Q32,166.693399,-113.266142,78.75,top
Q33,61.08233131353526,-141.87477125268725,310.0,bottom
Q4,156.539934,-62.221224,123.75,top
Q5,148.083261,-51.916739,135.0,top
Q6,137.778776,-43.460066,146.25,top
Q7,126.022473,-37.176192,157.5,top
Q8,113.266142,-33.306601,168.75,top
Q9,100.0,-32.0,180.0,top
R1,167.741239,-105.926591,85.0,top
R10,92.597053,-32.404169,186.25,top
R11,79.552006,-35.147247,197.5,top
R12,67.292764,-40.382581,208.75,top
R13,56.290443,-47.908978,220.0,top
R14,46.967855,-57.437204,231.25,top
R15,39.683263,-68.601094,242.5,top
R16,34.71661,-80.971627,253.75,top
R17,32.258761,-94.073409,265.0,top
R18,32.404169,-107.402947,276.25,top
R19,35.147247,-120.447994,287.5,top
R2,167.595831,-92.597053,96.25,top
R20,40.382581,-132.707236,298.75,top
R21,47.908978,-143.709557,310.0,top
R22,57.437204,-153.032145,321.25,top
R23,68.601094,-160.316737,332.5,top
R24,80.971627,-165.28339,343.75,top
R25,94.073409,-167.741239,355.0,top
R26,107.402947,-167.595831,6.25,top
R27,120.447994,-164.852753,17.5,top
R28,132.707236,-159.617419,28.75,top
R29,143.709557,-152.091022,40.0,top
R3,164.852753,-79.552006,107.5,top
R30,153.032145,-142.562796,51.25,top
R31,160.316737,-131.398906,62.5,top
R32,165.28339,-119.028373,73.75,top
R33,164.752655,-94.334877,95.0,top
R34,162.403241,-81.811114,106.25,top
R35,157.655704,-69.98634,117.5,top
R36,150.692491,-59.314974,128.75,top
R37,141.781195,-50.207111,140.0,top
R38,131.26427,-43.012761,151.25,top
R39,119.545877,-38.008398,162.5,top
R4,159.617419,-67.292764,118.75,top
R40,107.076347,-35.386338,173.75,top
R41,94.334877,-35.247345,185.0,top
R42,81.811114,-37.596759,196.25,top
R43,69.98634,-42.344296,207.5,top
R44,59.314974,-49.307509,218.75,top
R45,50.207111,-58.218805,230.0,top
R46,43.012761,-68.73573,241.25,top
R47,38.008398,-80.454123,252.5,top
R48,35.386338,-92.923653,263.75,top
R49,35.247345,-105.665123,275.0,top
R5,152.091022,-56.290443,130.0,top
R50,37.596759,-118.188886,286.25,top
R51,42.344296,-130.01366,297.5,top
R52,49.307509,-140.685026,308.75,top
R53,58.218805,-149.792889,320.0,top
R54,68.73573,-156.987239,331.25,top
R55,80.454123,-161.991602,342.5,top
R56,92.923653,-164.613662,353.75,top
R57,105.665123,-164.752655,5.0,top
R58,118.188886,-162.403241,16.25,top
R59,130.01366,-157.655704,27.5,top
R6,142.562796,-46.967855,141.25,top
R60,140.685026,-150.692491,38.75,top
R61,149.792889,-141.781195,50.0,top
R62,156.987239,-131.26427,61.25,top
R63,161.991602,-119.545877,72.5,top
R64,164.613662,-107.076347,83.75,top
R7,131.398906,-39.683263,152.5,top
R73,73.94221489874268,-147.9792786826381,208.75,bottom
R74,71.38278510125733,-151.3707213173619,28.75,bottom
R8,119.028373,-34.71661,163.75,top
R9,105.926591,-32.258761,175.0,top
U1,156.5,-100.0,0.0,top
U2,43.5,-100.0,0.0,top
U3,114.528,-109.093,180.0,top
